BasinID,UT,CT,BA,BWS,WSV,SV,RO
60,121152,15476.65137,51936015.85,0.002332716,1.869900568,1.145374614,53090729.75
61,23090,3075.817383,324736.0367,0.071103904,1.066297113,1.765489021,333539.9671
62,265777,40832.35547,46220931.57,0.005750144,1.637796934,0.882839845,47270845.92
63,32015,4253.759766,1696235.774,0.018874145,0.978159323,1.254032001,1743044.06
64,6040581,2252809.5,989210370.5,0.006106468,1.312990174,0.896142812,1011642834
65,50247,6384.122559,2236425.726,0.022467547,1.0639242,0.953606709,2276765.718
66,16223,2138.860596,1760905.203,0.009212875,0.700157356,1.598434361,1789053.183
67,1623000,638978.75,146211587.7,0.011100351,1.026881539,0.592188044,148406084.6
68,375856,47892.12891,223989198.1,0.001678009,1.033064191,0.596278617,225658188
69,80865072,42081292,2196471243,0.036815903,0.750676353,0.699784233,2217466603
70,38868,4983.096191,45882752.66,0.000847116,1.059797363,0.331420059,46840383.56
